Keyword,LeftContext,RightContext
Caesar,in das Verzeichnis der römischen Domänen einzutragen 25 und daß,um die gleiche Zeit 689 oder 690 durch einige Tribune
Caesar,ermitteln aber die große Wahrscheinlichkeit ist dafür daß Crassus und,den Plan entworfen hatten sich während Pompeius Abwesenheit der Militärdiktatur
Caesar,und Piso also Werkzeuge in den Händen von Crassus und,gewesen sind Einen Augenblick kam die Verschwörung ins Stocken Die
Caesar,Die Wahlen für 690 fanden statt ohne daß Crassus und,ihren Versuch sich des Konsulats zu bemeistern dabei erneuert hätten
Caesar,haben mag daß ein Verwandter des Führers der Demokratie Lucius,ein schwacher und von seinem Geschlechtsfreund nicht selten als Werkzeug
Caesar,keine Zeit zu verlieren leicht konnte sonst Pompeius eher als,in Ägypten stehen Die Verschwörung von 688 durch die schlaffen
Caesar,strengte alle ihre Kräfte für den Wahlkampf an Crassus und,setzten ihr Geld eigenes oder geborgtes und ihre Verbindungen ein
Caesar,Enthüllungen benutzt um mit der Demokratie überhaupt und namentlich mit,abzurechnen allein sie war viel zu gründlich gesprengt um dies
Caesar,letzteren zurück aber wann ist je die Feigheit konsequent gewesen,bot alles auf um die Gefangenen zu retten und seine
Caesar,sondern die ganze demokratische Partei Daß diese insbesondere Crassus und,hier so gut wie bei dem Komplott von 688 die
Caesar,ausdrücklichen und unabweisbaren Zeugnissen waren es vor allen Crassus und,die Catilinas Bewerbung um das Konsulat unterstützten Als Caesar 690
Caesar,und Caesar die Catilinas Bewerbung um das Konsulat unterstützten Als,690 die Schergen Sullas vor das Mordgericht zog ließ er
Caesar,keine Ursache hatte die Wahrheit zu entstellen hat ebener ausdrücklich,unter den Mitwissern genannt Eine indirekte aber sehr verständliche Bezichtigung
Caesar,die beiden am wenigsten gefährlichen Statilius und Gabinius den Senatoren,und Crassus zur Bewachung übergeben wurden offenbar sollten sie entweder
Caesar,Waffen ergriffen hatten waren gegen keinen so erbittert wie gegen,sie richteten am fünften December als er die Kurie verließ
Caesar,auch das Beachtung verdienen daß in viel späterer Zeit als,an die Spitze des Staates gelangt war er mit dem
Caesar,Stellung einnahm ungefähr wie damals Sulla so suchten Crassus und,ihm gegenüber in Italien eine Gewalt aufzurichten wie Marius und
Caesar,und selbst eine so elastische und so energische Natur wie,schien im Begriff das Spiel verloren zu geben In dieses
Caesar,gegenüber Quintus Catulus und Marcus Cato mit Marcus Crassus Gaius,und Titus Labienus vereinigt fand Aber nicht leicht konnte der
Caesar,Pompeius nach dem Osten gegangen Er hatte Ursache genug mit,und seinem Anhang unzufrieden zu sein aber ein offener Bruch
Caesar,närrischen Cato die Demokratie von dem schmiegsamen Meister der Intrigue,geleitet ward In diese Verhältnisse traf das Auftreten des von
Caesar,Cicero übersandt hatte Andererseits war es der erste Akt womit,seine Prätur eröffnete daß er den Quintus Catulus wegen der
Caesar,ermutigt suspendierte der Senat den Tribun Nepos sowie den Prätor,der denselben bei der Einbringung des Gesetzes nach Kräften unterstützt
Caesar,wegen ihrer Verfassungs als wegen ihrer Zweckwidrigkeit von Cato verhindert,kehrte sich an den Beschluß nicht und fuhr in seinen
Caesar,seinem Interesse tätig benutzt Als Pompeius aus Asien zurückkam war,wenig mehr gewesen als was auch Catilina war der Chef
Caesar,Rückhalt gegen Pompeius den er an Piso verloren jetzt an,wiederzufinden sich bestimmen lassen ihn noch vor seinem Abgang in
Caesar,das Konsulat mehrmals vereitelt und daß sie das gleiche gegen,versuchen werde war gewiß genug Aber wenn auch vielleicht Caesar
Caesar,Caesar versuchen werde war gewiß genug Aber wenn auch vielleicht,ihr zum Trotze gewählt ward so reichte die Wahl allein
Caesar,durfte er hierauf eingehen am allerwenigsten aber einem Manne wie,der schon als bloßer politischer Agitator ihm genug zu schaffen
Caesar,lag So ward im Sommer 624 die zweite Koalition abgeschlossen,ließ sich das Konsulat für das folgende Jahr und demnächst
Caesar,an die Soldaten der asiatischen Armee zugesagt der Ritterschaft versprach,gleichfalls das was der Senat verweigert hatte ihr durch die
Caesar,Teil der Bürgerschaft ihren rechten Vertrauensmann in ihm erkannte Auch,ist von solchen Anschauungen ausgegangen aber es waren nun einmal
Caesar,Schauplatz getreten war bald allen politischen Parteien unbedingt überlegen Auch,mußte im praktischen Parteitreiben hiervon sich überzeugen und also reifte
Caesar,dieselben das demokratische Programm acceptiert hatten doch die Demokratie und,selbst an den Rand des Unterganges führte In der gleichen
Caesar,noch nach Jahrtausenden wir ehrfurchtsvoll uns neigen vor dem was,gewollt und getan hat so liegt die Ursache nicht darin
Caesar,Herren ihre patriotischen Auslagen nicht wieder herausbekamen Als Konsul brachte,zunächst die Begehren seiner Verbündeten zur Verhandlung unter denen die
Caesar,bei weitem das wichtigste war Das zu diesem Ende von,entworfene Ackergesetz hielt im allgemeinen fest an den Grundzügen wie
Caesar,Ausführung ward einer Kommission von zwanzig Männern übertragen in die,bestimmt erklärte sich selber nicht wählen lassen zu wollen Die
Caesar,Kolonie II 315 II 343 Auch in der Form beobachtete,jede mögliche Rücksicht Er legte den Entwurf des Ackergesetzes sowie
Caesar,zu der gesetzlichen Schlußstunde der Sitzung seine Rede fortzuspinnen als,Miene machte den störrigen Mann verhaften zu lassen ward schließlich
Caesar,Bürgerschaft Ohne sich weit von der Wahrheit zu entfernen konnte,der Menge sagen daß der Senat die vernünftigsten und notwendigsten
Caesar,die Sache bis zu offenbarer Gewalt zu treiben Pompeius von,veranlaßt sich über seine Stellung zu der obschwebenden Frage auszusprechen
Caesar,um die Anträge Caesars zu vereiteln An jedem Tage wo,vor dem Volke auftrat stellte sein Kollege Bibulus die bekannten
Caesar,politischen Wetterbeobachtungen an die alle öffentlichen Geschäfte unterbrachen II 420,kümmerte sich um den Himmel nicht sondern fuhr fort seine
Caesar,seine irdischen Geschäfte zu betreiben Die tribunicische Intercession ward eingelegt,begnügte sich sie nicht zu beachten Bibulus und Cato sprangen
Caesar,die Rednerbühne haranguierten die Menge und veranlaßten den gewöhnlichen Krawall,ließ sie durch Gerichtsdiener vom Markte hinwegführen und übrigens dafür
Caesar,nicht dabei bleiben es war unter den Verbündeten ausgemacht daß,ein außerordentliches nach dem Muster der Gabinisch Manilischen Gesetze zugeschnittenes
Caesar,der Gabinisch Manilischen Gesetze zugeschnittenes Kommando durch Volksschluß erhalten solle,indes hatte öffentlich erklärt keinen Antrag zu seinen eigenen Gunsten
Caesar,Antrag bei der Bürgerschaft zu stellen die natürlich unbedingt gehorchte,erhielt dadurch die Statthalterschaft des Cisalpinischen Galliens und den Oberbefehl
Caesar,um wenigstens nicht auch dies Kommando durch außerordentlichen Bürgerschaftsbeschluß auf,übergehen zu sehen Man hatte damit was man wollte Da
Caesar,den Machthabern selbst war zunächst wenigstens keine Aussicht Die von,als Konsul erlassenen Gesetze an deren Aufrechthaltung Pompeius wenigstens ebensoviel
Caesar,Gesetze an deren Aufrechthaltung Pompeius wenigstens ebensoviel gelegen war als,verbürgten die Fortdauer der Spaltung zwischen Pompeius und der Aristokratie
Caesar,auch die persönlichen Bande zwischen ihren Häuptern sich enger zusammenzogen,hatte seinen Verbündeten redlich und treulich Wort gehalten ohne sie
Caesar,Je fester und enger also das Bündnis zwischen Pompeius und,sich knüpfte desto hoffnungsloser gestaltete sich die Sache der Aristokratie
Caesar,Sie fühlte das Schwert über ihrem Haupte schweben und kannte,hinlänglich um nicht zu bezweifeln daß er wenn nötig es
Caesar,natürlich in dieser Partei auch nicht an Heißspornen Kaum hatte,das Konsulat niedergelegt als einige der hitzigsten Aristokraten Lucius Domitius
Caesar,Torheit die nur zum Vorteil der Koalition ausschlug denn da,nun selbst darauf bestand daß der Senat die Gültigkeit der
Caesar,überzeugt selbst ein Mann wie Lucius Lucullus hatte sich persönlich,zu Füßen geworfen und öffentlich erklärt daß er seines hohen
Caesar,hatte wählen lassen Als Rückhalt für Clodius verweilte der Prokonsul,bis der Schlag gegen die beiden Opfer gefallen war in
Caesar,sich ein nach dem Osten Das Nächste war getan auch,konnte Italien verlassen um sich ernsteren Aufgaben zu widmen Wenn
Caesar,einen neuen jungfräulichen Boden zu gewinnen Dieser Aufgabe hat Gaius,sich unterzogen Es ist mehr als ein Irrtum es ist
Caesar,wenn man Gallien einzig als den Exercierplatz betrachtet auf dem,sich und seine Legionen für den bevorstehenden Bürgerkrieg übte Wenn
Caesar,bevorstehenden Bürgerkrieg übte Wenn auch die Unterwerfung des Westens für,insofern ein Mittel zum Zweck war als er in den
Caesar,des staatsmännischen Genius daß seine Mittel selbst wieder Zwecke sind,bedurfte wohl für seine Parteizwecke einer militärischen Macht Gallien aber
Caesar,war noch nicht der höchste und letzte weshalb Gallien von,erobert ward Als der römischen Bürgerschaft die alte Heimat zu
Caesar,Mißständen Es war ein genialer Gedanke eine großartige Hoffnung welche,über die Alpen führte der Gedanke und die Zuversicht dort
Caesar,Unterwerfung des Westens abzielenden Unternehmungen schon der Feldzug rechnen den,im J 693 im Jenseitigen Spanien unternahm Wielange auch Spanien
Caesar,nicht leicht von den in sich sehr ungleichartigen Zuständen die,bei seinem Eintreffen daselbst im J 696 vorfand ein anschauliches
Caesar,Geschick jedes Muster nachzuahmen und jede Anweisung auszuführen auch von,hervorgehoben wird In den meisten Zweigen scheint aber doch das
Caesar,regsameren Süden des Landes war ein oder zwei Menschenalter vor,die Kinder der letzten Könige lebten noch zu seiner Zeit
Caesar,der Roheit auch die Tapferkeit geschwunden war Der Kelte sagt,wagt es nicht dem Germanen im Kampfe ins Auge zu
Caesar,verwandt hat Überblicken wir den Gesamtzustand der Kelten wie ihn,in den transalpinischen Landschaften vorfand so ist verglichen mit der
Caesar,Tage tritt so lebendig erscheint es in den Kämpfen gegen,Allem Anschein nach hatte die keltische Nation als Caesar ihr
Caesar,gegen Caesar Allem Anschein nach hatte die keltische Nation als,ihr gegenübertrat das Maximum der ihr beschiedenen Kultur bereits erreicht
Caesar,Gebiets durch die übermütigen Sueben stämme müde das Jahr bevor,in Gallien eintraf 695 aus ihren bisherigen Sitzen aufgebrochen um
Caesar,Römer gelang Unter diesen Verhältnissen traf der neue Statthalter Gaius,im Frühling 696 in dem Narbonensischen Gallien ein das zu
Caesar,vom Forum auf das Schlachtfeld gefolgt war Bestimmte Aufträge hatte,nicht erhalten für den Einsichtigen und Mutigen lagen sie in
Caesar,wo er das linke Rhoneufer betrat durch römisches Gebiet und,ohnehin nicht gemeint sich die Festsetzung der Helvetier im westlichen
Caesar,einer Strecke von mehr als drei deutschen Meilen zu verwehren,gewann indes durch Unterhandlungen mit den Helvetiern die den Übergang
Caesar,des römischen Gebiets Interessen die nur gewahrt werden konnten wenn,statt wie alle Statthalter des Senats wie selbst Marius II
Caesar,an der Spitze einer ansehnlichen Armee die bisherige Reichsgrenze überschritt,war Feldherr nicht des Senats sondern des Staates er schwankte
Caesar,war indes bereits auf das rechte Ufer des Flusses übergesetzt,folgte ihnen und bewerkstelligte den Übergang den der ungeschlachte Zug
Caesar,Richtung nach Norden ein ohne Zweifel in der Voraussetzung daß,nicht wagen werde ihnen weit in das innere Gallien hinein
Caesar,Häduer unter dem Befehl des wohlbekannten Römerfeindes Dumnorix bestand und,selbst sie mehr noch als Geiseln denn als Soldaten übernommen
Caesar,der Hauptstadt der Häduer Bibracte Autun in mäßiger Entfernung vorüber,beschloß dieses wichtigen Ortes sich mit gewaffneter Hand zu bemächtigen
Caesar,Flucht Anstalt machten und griffen nun ihrerseits an Mehr hatte,nicht gewünscht Auf zwei parallel laufenden Hügelreihen stellten die beiden
Caesar,aber es war ein heißer auch für die Sieger gewesen,der Ursache hatte seinem Offizierkorps nicht durchgängig zu trauen hatte
Caesar,keltischen Nation den römischen Feldherrn um Beistand gegen die Deutschen,ging darauf ein Auf seine Veranlassung stellten die Häduer die
Caesar,da Ariovist wegen dieses Vertragsbruchs die Klienten Roms angriff nahm,davon Veranlassung mit ihm in direkte Verhandlung zu treten und
Caesar,erwähnte der Aufforderungen die ihm von Rom aus zugekommen seien,aus dem Wege zu räumen und erbot sich wenn Caesar
Caesar,Caesar aus dem Wege zu räumen und erbot sich wenn,ihm das nördliche Gallien überlassen wolle ihm dagegen zur Erlangung
Caesar,Um so notwendiger war es nicht zu zaudern sogleich brach,auf gegen Ariovist Ein panischer Schrecken ergriff seine Truppen vor
Caesar,und die Römer von ihrer Basis und ihren Zufuhren abzuschneiden,versuchte sich aus seiner peinlichen Lage durch eine Schlacht zu
Caesar,ihrer isolierten Stellung nicht umhin konnten an der Centralgewalt festzuhalten,zog hier wie überall die überwundenen Feinde den zweifelhaften Freunden
Caesar,Stämme sich fertig machten den Strom zu überschreiten Infolgedessen brach,mit seinem jetzt auf acht Legionen vermehrten Heer im Frühjahr
Caesar,Anführung des Königs der Suessionen Galba an ihre Südgrenze um,daselbst zu empfangen Nur ein einziger Gau der der mächtigen
Caesar,trafen das römische und das belgische Heer fast gleichzeitig ein,unternahm es nicht dem tapfern sechsfach stärkeren Feinde eine Schlacht
Caesar,Aber die Folgen des Sieges beschränkten sich hierauf nicht Wie,in die westlichen Kantone der Belgen einrückte gab einer nach
Caesar,kimbrischen Splitter noch verfolge Den übrigen unterworfenen Stämmen begnügte sich,eine allgemeine Entwaffnung und Geiselstellung aufzuerlegen Die Remer wurden natürlich
Caesar,auf Beistand aus Britannien auf das Einrücken der überrheinischen Germanen,sandte Labienus mit der ganzen Reiterei an den Rhein um
Caesar,bemannter Galeeren gebildete Flotte führte der Unterfeldherr Decimus Brutus heran,selbst rückte mit dem Kern seiner Infanterie ein in das
Caesar,Vertragsbruch und die Festnahme der römischen Offiziere zu ahnden ließ,den gesamten Gemeinderat hinrichten und die Bürgerschaft des Venetischen Gaus
Caesar,der Küstenstaaten setzte Sabinus inzwischen dieselbe Taktik entgegen durch die,das Jahr zuvor den belgischen Landsturm an der Aisne überwunden
Caesar,römischen Hoheit zu entziehen Um sie dazu zu zwingen erschien,an ihren Grenzen aber gewitzigt durch die von ihren Landsleuten
Caesar,Bäume als Verhacke gegen feindliche Überfälle aufgeschichtet wurden allein selbst,verwegen wie er war fand nach einigen Tagen mühseligsten Marschierens
Caesar,nicht erreicht worden waren Das folgende Jahr 699 ward während,selbst in Britannien beschäftigt war der größte Teil des Heeres
Caesar,genügt die Erneuerung der vorjährigen Kämpfe zu verhüten Während also,das römische Gebiet im Westen mit den Waffen zu einem
Caesar,führt um diese Straße in seine Gewalt zu bringen ließ,schon im Herbst 697 durch Servius Galba Octodurum Martigny besetzen
Caesar,unter den neuen Herrn zu bestimmen Das eine Ziel das,sich gesteckt hatte die Unterwerfung Galliens war mit kaum nennenswerten
Caesar,Schwert sich erreichen ließ Allein die andere Hälfte des von,begonnenen Werkes war noch bei weitem nicht genügend erledigt und
Caesar,bereits bis an die Grenzen der Treverer streiften Indes als,mit seinen Legionen ihnen gegenüber anlangte schienen die vielgeplagten Auswanderer
Caesar,unternahm und erbittert durch den dabei erlittenen empfindlichen Verlust glaubte,sich berechtigt jede völkerrechtliche Rücksicht aus den Augen zu setzen
Caesar,Übergriffen war dadurch mit erschreckendem Nachdruck gesteuert Doch fand es,ratsam noch einen Schritt weiter zu gehen und die Legionen
Caesar,Binnenlandes botmäßig und zinspflichtig gemacht worden und hatten schon 697,durch ihre Boten ersucht auch sie wie die Gallier von
Caesar,der Gegend wie es scheint zwischen Koblenz und Andernach schlug,eine Pfahlbrücke über den Rhein und führte seine Legionen hinüber
Caesar,der Westspitze Englands Scillyinseln hinübergefahren 697 im Sommer 699 ging,selbst mit nur zwei Legionen da wo er am schmalsten
Caesar,noch ehe die schlimme Jahreszeit hereinbrach die gallische Küste wiederzuerreichen,selbst war mit den Ergebnissen dieser leichtsinnig und mit unzulänglichen
Caesar,Ufer versammelte Streitmacht der Briten ohne einen Kampf zu wagen,trat sofort den Marsch ins Binnenland an und überschritt nach
Caesar,des ältesten Rom in zwiefacher Weise verwendet werden konnten Als,den Marsch wieder fortzusetzen im stande war fand er denselben
Caesar,gefährlichen Feind nicht aufs Äußerste zu treiben und versprach wie,verlangte die Trinobanten nicht zu beunruhigen Abgaben zu zahlen und
Caesar,ernstlich weder gegeben noch genommen Nach Empfang der Geiseln kehrte,in das Schiffslager und von da nach Gallien zurück Wenn
Caesar,vor dem zweiten Zug nach Britannien im Frühjahr 700 hatte,es notwendig gefunden sich persönlich zu den Treverern zu begeben
Caesar,überrheinischen Deutschen mehr als verdächtige Verbindungen angeknüpft hatten Damals hatte,sich begnügt die namhaftesten Männer der Patriotenpartei namentlich den Indutiomarus
Caesar,verweigerte sich einzuschiffen und statt dessen nach Hause ritt konnte,nicht umhin ihn als Ausreißer verfolgen zu lassen wobei er
Caesar,Legionen stark im belgischen Gebiet Die Knappheit der Getreidevorräte hatte,bewogen seine Truppen weiter als er sonst zu tun pflegte
Caesar,Aufgebot der Aduatuker die gern die Gelegenheit ergriffen das von,ihnen zugefügte Leid zu vergelten und der mächtigen und noch
Caesar,und Brandspeeren überschütteten Die einzige Hoffnung der Belagerten beruhte auf,der nicht allzuweit entfernt in der Gegend von Amiens mit
Caesar,Reiter aus Ciceros Lager sich durch die Feinde bis zu,durchzuschleichen Auf die erschütternde Kunde brach Caesar augenblicklich auf zwar
Caesar,Feinde bis zu Caesar durchzuschleichen Auf die erschütternde Kunde brach,augenblicklich auf zwar nur mit zwei schwachen Legionen zusammen etwa
Caesar,stark und 400 Reitern aber nichtsdestoweniger genügte die Meldung daß,anrücke um die Insurgenten zur Aufhebung der Belagerung zu bestimmen
Caesar,Zeit nicht der zehnte Mann in Ciceros Lager war unverwundet,gegen den das Insurgentenheer sich gewandt hatte täuschte die Feinde
Caesar,für jetzt die Fortsetzung des Kampfes ein Nicht ungern verschob,die weiteren Maßregeln gegen die aufgestandenen Distrikte auf das Frühjahr
Caesar,und der benachbarten Senonen um Sens welche letztere den von,eingesetzten König aus dem Lande jagten teils die Landschaft der
Caesar,suchen Die Abgeordneten dieser drei Gaue blieben auf dem von,im mittleren Gallien ausgeschriebenen Landtag aus und erklärten damit ebenso
Caesar,Cicero getan hatte Der Winter neigte sich zu Ende als,mit seinem inzwischen ansehnlich verstärkten Heer aufbrach gegen die Insurgenten
Caesar,offener Empörung stehenden vereinzelt angegriffen Zuerst wurden die Nervier von,selbst zu Paaren getrieben Das gleiche widerfuhr den Senonen und
Caesar,wieder zusammen Um den Deutschen das Wiederkommen zu verleiden ging,noch einmal über den Rhein um womöglich gegen die lästigen
Caesar,abgerechnet nur die Eburonen waren übergangen aber nicht vergessen Seit,die Katastrophe von Aduatuca erfahren hatte trug er das Trauergewand
Caesar,Beile damit förmlich eingeweiht Die Opposition verstummte überall herrschte Ruhe,ging wie er pflegte im Spätjahr 701 über die Alpen
Caesar,Insurrektion des letzten Winters war offenbar nur daran gescheitert daß,selbst auf dem Kampfplatz erschienen war jetzt war er fern
Caesar,Heer umzingelt die fast unverteidigte altrömische Provinz überschwemmt sein bevor,wieder jenseit der Alpen stand selbst wenn die italischen Verwicklungen
Caesar,zum Losschlagen bestimmt hatten in Italien blieb es Friede und,stand abermals an der Spitze seiner Armee Was aber sollten
Caesar,um diese fast einzigen zuverlässigen Bundesgenossen Roms zu vernichten bevor,herankam Die Nachricht von diesem Angriff bestimmte auch Caesar mit
Caesar,bevor Caesar herankam Die Nachricht von diesem Angriff bestimmte auch,mit Zurücklassung des Gepäcks und zweier Legionen in den Winterquartieren
Caesar,teils gekauften teils von den Offizieren requirierten Pferden ausgerüstet wurden,nachdem er unterwegs die Hauptstadt der Carnuten Cenabum die das
Caesar,Insurrektion ein erster Erfolg erfochten und nach früheren Erfahrungen mochte,wohl erwarten daß damit dieselbe sich auflösen und es nur
Caesar,Übergang auf das linke Ufer des Allier zu verwehren allein,überlistete ihn und stand nach einigen Tagen vor der arvernischen
Caesar,Gergovia 50 Indes hatte Vercingetorix ohne Zweifel schon während er,am Allier gegenüberstand in Gergovia hinreichende Vorräte zusammenbringen und vor
Caesar,lassen und da er hinreichenden Vorsprung hatte langte er vor,bei Gergovia an und erwartete in dem befestigten Lager unter
Caesar,erwartete in dem befestigten Lager unter der Festungsmauer den Angriff,mit seiner verhältnismäßig schwachen Armee konnte den Platz weder regelrecht
Caesar,war In der Tat kamen die Folgen dieser Stockung für,beinahe denen einer Niederlage gleich Die Häduer die bisher immer
Caesar,Anstalt der Patriotenpartei sich anzuschließen schon war die Mannschaft die,nach Gergovia entboten hatte auf dem Marsche durch die Offiziere
Caesar,daselbst ansässigen Römer zu plündern und zu erschlagen Noch hatte,indem er jenem auf Gergovia zurückenden Korps der Häduer mit
Caesar,sich offen auf die Seite der Aufständischen schlagen und dadurch,nötigen würden dieselbe aufzuheben denn ihr Beitritt würde die Verbindung
Caesar,den letzteren in seiner Vereinzelung der größten Gefahr ausgesetzt haben,war entschlossen es hierzu nicht kommen zu lassen sondern wie
Caesar,ganze Besatzung alarmiert und bei den geringen Entfernungen fand es,nicht rätlich den zweiten Sturm auf die Stadtmauer zu wagen
Caesar,der Stadt hinaus und den Berg hinuntergejagt wo die von,in der Ebene aufgestellten Truppen sie aufnahmen und größeres Unglück
Caesar,Gergovia sich vollkommen bewährt Diese Niederlage endlich die erste die,selbst von den Kelten erlitten hatte krönte den Erfolg und
Caesar,zweiten Ausbruch der Insurrektion Die Häduer brachen jetzt förmlich mit,und traten mit Vercingetorix in Verbindung Ihr Kontingent das noch
Caesar,wodurch die Kassen und Magazine eine Menge Remontepferde und sämtliche,gestellte Geiseln den Insurgenten in die Hände fielen Wenigstens ebensowichtig
Caesar,zu ihrem Schutze von Rom gesandten Legionen dringend bedurfte Allein,verwarf diese ängstliche nicht durch die Lage der Dinge sondern
Caesar,Camulogenus auf der Walstatt blieb Ebensowenig gelang es den Insurgenten,an der Loire aufzuhalten Caesar gab ihnen keine Zeit dort
Caesar,Ebensowenig gelang es den Insurgenten Caesar an der Loire aufzuhalten,gab ihnen keine Zeit dort größere Massen zu versammeln und
Caesar,nach Beschluß der Landesversammlung bis auf 15000 Pferde gebracht ward,schlug mit seiner gesamten Heeresmacht nachdem er sie bei Agedincum
Caesar,eilte um so mehr sich in Alesia einzuschließen und wenn,nicht überhaupt auf die Offensive verzichten wollte blieb ihm nichts
Caesar,im Guten und Bösen das Schicksal der Seinigen zu teilen,aber machte sich gefaßt zugleich zu belagern und belagert zu
Caesar,die Verteidiger von dem Wall herunterzuwerfen Da nahm Labienus von,hierher gesandt die nächsten Kohorten zusammen und warf sich mit
Caesar,wurden im verzweifelten Nahgefecht die Stürmenden zurückgejagt und die mit,gekommenen die Flüchtenden in den Rücken fassenden Reiterscharen vollendeten die
Caesar,zu vertragen Natürlich überwog durchgängig das Verlangen nach Ruhe Auch,hatte ein Interesse daran rasch zu Ende zu kommen Von
Caesar,wie Vercingetorix ihn geführt hatte und mit nicht geringem Erfolg,obwohl er nach und nach den größten Teil seines Heeres
Caesar,ward wehrte die Besatzung sich auf das äußerste erst als,selbst erschien und auf seine Anordnung die Quelle aus der
Caesar,die letzten Verfechter der Sache der Freiheit zu kennzeichnen befahl,der gesamten Besatzung die Hände abzuhauen und sie also einen
Caesar,4 51 0 mit den römischen Truppen sich herumschlug gestattete,dem alles daran lag in ganz Gallien wenigstens dem offenen
Caesar,im römischen Lager zu erscheinen Es ist sehr wahrscheinlich daß,in ähnlicher Weise bei den schwer zugänglichen Distrikten im Nordwesten
Caesar,auf und während in allen alten Provinzen des Reichs gegen,gestritten ward blieb allein die neugewonnene Landschaft ihrem Besieger fortwährend
Caesar,gewonnenen Gebiete vorläufig mit der Provinz Narbo vereinigt erst als,dieses Amt abgab 710 wurden aus dem von ihm eroberten
Caesar,ihren Weg nach Rom fanden versteht sich von selbst wenn,im ganzen Römischen Reich sein gallisches Gold ausbot und davon
Caesar,dem Verlust der staatlichen Selbständigkeit ihm die Spitze abgebrochen war,war nur darauf bedacht unter Benutzung der bestehenden dynastischen feudalistischen
Caesar,Fremdherrschaft genehmen Männer an die Spitze zu bringen Überhaupt sparte,keine Mühe am in Gallien eine römische Partei zu bilden
Caesar,Ordnung des Hegemoniewesens gefördert Den Nationalkult und dessen Priester scheint,von Anfang an so weit irgend möglich geschont zu haben
Caesar,wie er bei den britannischen später so bestimmt hervortritt Wenn,also der besiegten Nation jede zulässige Rücksicht bewies und ihre
Caesar,einzelner vielleicht schon in den römischen Senat so ist wahrscheinlich,es gewesen der in Gallien auch innerhalb der einzelnen Gaue
Caesar,in dem korrekten hauptstädtischen Latein Vielleicht geht es auch auf,zurück wenn die Gauverfassung im Keltenland späterhin der italischen Stadtverfassung
Caesar,Nation war es zu Ende Ihre politische Auflösung war durch,eine vollendete Tatsache geworden ihre nationale eingeleitet und im regelmäßigen
Caesar,der Arverner nach dem Sieg von Gergovia aufgehangene Schwert des,das sein angeblicher ehemaliger Besitzer an der geweihten Stätte lächelnd
Caesar,nach Asien getragen habe wieder Jahrhunderte bis man begriff daß,nicht bloß den Römern eine neue Provinz erobert sondern die
Caesar,die alpinischen Barbaren im J 702 als die transalpinische Insurrektion,genötigt hatte Oberitalien ganz von Truppen zu entblößen Auch die
